date,vintage_hour,slot,hour_end,lead_hours,sigma_kw,quantile_kw,samples
2025-12-31,6,37,370,0.000,13.570228,-48.188800,30
2025-12-31,6,38,380,0.167,13.570228,-48.188800,30
2025-12-31,6,39,390,0.333,13.570228,-48.188800,30
2025-12-31,6,40,400,0.500,13.570228,-48.188800,30
2025-12-31,6,41,410,0.667,13.570228,-48.188800,30
2025-12-31,6,42,420,0.833,0.092635,-0.236300,30
2025-12-31,6,43,430,1.000,93.002766,-1605.197100,30
2025-12-31,6,44,440,1.167,84.570280,-1328.023100,30
2025-12-31,6,45,450,1.333,77.760831,-1058.020600,30
2025-12-31,6,46,460,1.500,61.162192,-741.343000,30
2025-12-31,6,47,470,1.667,37.403263,-396.752900,30
2025-12-31,6,48,480,1.833,23.983352,-38.851100,30
2025-12-31,6,49,490,2.000,179.158454,-1749.037900,30
2025-12-31,6,50,500,2.167,150.360713,-1396.638400,30
2025-12-31,6,51,510,2.333,130.724309,-1083.943100,30
2025-12-31,6,52,520,2.500,140.211988,-796.835800,30
2025-12-31,6,53,530,2.667,113.356322,-473.967800,30
2025-12-31,6,54,540,2.833,80.687921,-142.595900,30
2025-12-31,6,55,550,3.000,301.832364,-1673.282800,30
2025-12-31,6,56,560,3.167,267.253921,-1358.509200,30
2025-12-31,6,57,570,3.333,218.738772,-1036.281600,30
2025-12-31,6,58,580,3.500,197.170315,-848.438200,30
2025-12-31,6,59,590,3.667,173.952569,-509.573200,30
2025-12-31,6,60,600,3.833,166.631907,-232.886000,30
2025-12-31,6,61,610,4.000,393.106937,-1584.006100,30
2025-12-31,6,62,620,4.167,394.925348,-1558.140900,30
2025-12-31,6,63,630,4.333,393.537993,-1388.871500,30
2025-12-31,6,64,640,4.500,355.117186,-1069.681200,30
2025-12-31,6,65,650,4.667,301.321856,-645.013300,30
2025-12-31,6,66,660,4.833,261.140612,-478.615800,30
2025-12-31,6,67,670,5.000,535.131654,-1509.027500,30
2025-12-31,6,68,680,5.167,474.734610,-1401.919600,30
2025-12-31,6,69,690,5.333,439.140665,-1160.684600,30
2025-12-31,6,70,700,5.500,455.952313,-1069.003900,30
2025-12-31,6,71,710,5.667,431.278705,-839.332900,30
2025-12-31,6,72,720,5.833,377.858895,-643.572100,30
2025-12-31,6,73,730,6.000,514.987574,-830.503900,30
2025-12-31,6,74,740,6.167,457.275236,-643.159100,30
2025-12-31,6,75,750,6.333,426.719055,-511.130600,30
2025-12-31,6,76,760,6.500,413.263709,-598.963600,30
2025-12-31,6,77,770,6.667,365.903861,-622.075600,30
2025-12-31,6,78,780,6.833,326.562578,-587.030600,30
2025-12-31,6,79,790,7.000,461.113994,-27.130300,30
2025-12-31,6,80,800,7.167,431.880944,-154.824200,30
2025-12-31,6,81,810,7.333,416.841940,-257.195900,30
2025-12-31,6,82,820,7.500,420.713257,-451.401100,30
2025-12-31,6,83,830,7.667,398.409768,-539.556900,30
2025-12-31,6,84,840,7.833,371.259210,-558.133400,30
2025-12-31,6,85,850,8.000,299.084620,757.375100,30
2025-12-31,6,86,860,8.167,309.043881,529.049700,30
2025-12-31,6,87,870,8.333,301.245159,188.553500,30
2025-12-31,6,88,880,8.500,278.571270,0.191500,30
2025-12-31,6,89,890,8.667,255.635271,-146.097300,30
2025-12-31,6,90,900,8.833,238.838186,-449.962500,30
2025-12-31,6,91,910,9.000,167.657197,1162.001700,30
2025-12-31,6,92,920,9.167,157.554415,882.667600,30
2025-12-31,6,93,930,9.333,145.211827,603.307700,30
2025-12-31,6,94,940,9.500,139.480316,310.309400,30
2025-12-31,6,95,950,9.667,138.915719,16.440400,30
2025-12-31,6,96,960,9.833,127.334589,-253.828000,30
2025-12-31,6,97,970,10.000,71.881236,1098.804000,30
2025-12-31,6,98,980,10.167,50.173581,861.220700,30
2025-12-31,6,99,990,10.333,39.387349,611.512500,30
2025-12-31,6,100,1000,10.500,28.751029,387.924500,30
2025-12-31,6,101,1010,10.667,15.221178,165.296000,30
2025-12-31,6,102,1020,10.833,1.127780,-2.843100,30
2025-12-31,6,103,1030,11.000,0.000000,0.000000,30
2025-12-31,6,104,1040,11.167,0.000000,0.000000,30
2025-12-31,6,105,1050,11.333,0.000000,0.000000,30
2025-12-31,6,106,1060,11.500,0.000000,0.000000,30
2025-12-31,6,107,1070,11.667,0.000000,0.000000,30
2025-12-31,6,108,1080,11.833,0.000000,0.000000,30
2025-12-31,6,109,1090,12.000,0.000000,0.000000,30
2025-12-31,6,110,1100,12.167,0.000000,0.000000,30
2025-12-31,6,111,1110,12.333,0.000000,0.000000,30
2025-12-31,6,112,1120,12.500,0.000000,0.000000,30
2025-12-31,6,113,1130,12.667,0.000000,0.000000,30
2025-12-31,6,114,1140,12.833,0.000000,0.000000,30
2025-12-31,6,115,1150,13.000,0.000000,0.000000,30
2025-12-31,6,116,1160,13.167,0.000000,0.000000,30
2025-12-31,6,117,1170,13.333,0.000000,0.000000,30
2025-12-31,6,118,1180,13.500,0.000000,0.000000,30
2025-12-31,6,119,1190,13.667,0.000000,0.000000,30
2025-12-31,6,120,1200,13.833,0.000000,0.000000,30
2025-12-31,6,121,1210,14.000,0.000000,0.000000,30
2025-12-31,6,122,1220,14.167,0.000000,0.000000,30
2025-12-31,6,123,1230,14.333,0.000000,0.000000,30
2025-12-31,6,124,1240,14.500,0.000000,0.000000,30
2025-12-31,6,125,1250,14.667,0.000000,0.000000,30
2025-12-31,6,126,1260,14.833,0.000000,0.000000,30
2025-12-31,6,127,1270,15.000,0.000000,0.000000,30
2025-12-31,6,128,1280,15.167,0.000000,0.000000,30
2025-12-31,6,129,1290,15.333,0.000000,0.000000,30
2025-12-31,6,130,1300,15.500,0.000000,0.000000,30
2025-12-31,6,131,1310,15.667,0.000000,0.000000,30
2025-12-31,6,132,1320,15.833,0.000000,0.000000,30
2025-12-31,6,133,1330,16.000,0.000000,0.000000,30
2025-12-31,6,134,1340,16.167,0.000000,0.000000,30
2025-12-31,6,135,1350,16.333,0.000000,0.000000,30
2025-12-31,6,136,1360,16.500,0.000000,0.000000,30
2025-12-31,6,137,1370,16.667,0.000000,0.000000,30
2025-12-31,6,138,1380,16.833,0.000000,0.000000,30
2025-12-31,6,139,1390,17.000,0.000000,0.000000,30
2025-12-31,6,140,1400,17.167,0.000000,0.000000,30
2025-12-31,6,141,1410,17.333,0.000000,0.000000,30
2025-12-31,6,142,1420,17.500,0.000000,0.000000,30
2025-12-31,6,143,1430,17.667,0.000000,0.000000,30
2025-12-31,6,144,1440,17.833,0.000000,0.000000,30
2025-12-31,12,73,730,0.000,321.549921,-455.245700,30
2025-12-31,12,74,740,0.167,253.871901,-197.709400,30
2025-12-31,12,75,750,0.333,225.874420,-259.983500,30
2025-12-31,12,76,760,0.500,207.906259,-263.159800,30
2025-12-31,12,77,770,0.667,134.028305,-168.900000,30
2025-12-31,12,78,780,0.833,62.115335,-95.336600,30
2025-12-31,12,79,790,1.000,253.495918,272.293200,30
2025-12-31,12,80,800,1.167,226.676049,198.432300,30
2025-12-31,12,81,810,1.333,216.056347,38.100000,30
2025-12-31,12,82,820,1.500,192.600560,-35.387800,30
2025-12-31,12,83,830,1.667,134.378191,-86.848100,30
2025-12-31,12,84,840,1.833,95.859270,-111.375000,30
2025-12-31,12,85,850,2.000,240.433526,635.884000,30
2025-12-31,12,86,860,2.167,214.014987,507.114100,30
2025-12-31,12,87,870,2.333,168.928888,430.819000,30
2025-12-31,12,88,880,2.500,127.992370,246.356900,30
2025-12-31,12,89,890,2.667,104.471793,70.534100,30
2025-12-31,12,90,900,2.833,88.241821,-160.036700,30
2025-12-31,12,91,910,3.000,148.954923,1027.395800,30
2025-12-31,12,92,920,3.167,131.930905,774.273200,30
2025-12-31,12,93,930,3.333,110.140512,532.162500,30
2025-12-31,12,94,940,3.500,87.879517,343.600500,30
2025-12-31,12,95,950,3.667,77.820084,65.843700,30
2025-12-31,12,96,960,3.833,62.698253,-138.187500,30
2025-12-31,12,97,970,4.000,71.743364,1099.061800,30
2025-12-31,12,98,980,4.167,50.082799,861.220700,30
2025-12-31,12,99,990,4.333,39.511787,611.512500,30
2025-12-31,12,100,1000,4.500,29.004391,387.924500,30
2025-12-31,12,101,1010,4.667,15.468889,165.296000,30
2025-12-31,12,102,1020,4.833,0.355504,-0.618500,30
2025-12-31,12,103,1030,5.000,0.000000,0.000000,30
2025-12-31,12,104,1040,5.167,0.000000,0.000000,30
2025-12-31,12,105,1050,5.333,0.000000,0.000000,30
2025-12-31,12,106,1060,5.500,0.000000,0.000000,30
2025-12-31,12,107,1070,5.667,0.000000,0.000000,30
