run_id,file,sheet,excel_row,excel_col,date,slot_index,slot_label,value,rule_id,reason
clean-2025-v1,附件2,光伏发电实际功率,2,AO,2025-01-01,40,6:40,5.8062,NR2,core-night value above noise band (old=5.806200)
clean-2025-v1,附件2,光伏发电实际功率,2,DA,2025-01-01,104,17:20,5.9578,NR2,core-night value above noise band (old=5.957800)
clean-2025-v1,附件2,光伏发电实际功率,3,AO,2025-01-02,40,6:40,5.9596,NR2,core-night value above noise band (old=5.959600)
clean-2025-v1,附件2,光伏发电实际功率,3,DA,2025-01-02,104,17:20,6.7246,NR2,core-night value above noise band (old=6.724600)
clean-2025-v1,附件2,光伏发电实际功率,4,AO,2025-01-03,40,6:40,5.2535,NR2,core-night value above noise band (old=5.253500)
clean-2025-v1,附件2,光伏发电实际功率,4,DA,2025-01-03,104,17:20,5.7669,NR2,core-night value above noise band (old=5.766900)
clean-2025-v1,附件2,光伏发电实际功率,5,AO,2025-01-04,40,6:40,6.0622,NR2,core-night value above noise band (old=6.062200)
clean-2025-v1,附件2,光伏发电实际功率,5,DA,2025-01-04,104,17:20,5.0717,NR2,core-night value above noise band (old=5.071700)
clean-2025-v1,附件2,光伏发电实际功率,32,DC,2025-01-31,106,17:40,5.3833,NR2,core-night value above noise band (old=5.383300)
clean-2025-v1,附件2,光伏发电实际功率,48,DD,2025-02-16,107,17:50,5.119,NR2,core-night value above noise band (old=5.119000)
clean-2025-v1,附件2,光伏发电实际功率,49,AL,2025-02-17,37,6:10,5.9313,NR2,core-night value above noise band (old=5.931300)
clean-2025-v1,附件2,光伏发电实际功率,49,DD,2025-02-17,107,17:50,5.9351,NR2,core-night value above noise band (old=5.935100)
clean-2025-v1,附件2,光伏发电实际功率,50,AL,2025-02-18,37,6:10,6.7101,NR2,core-night value above noise band (old=6.710100)
clean-2025-v1,附件2,光伏发电实际功率,50,DD,2025-02-18,107,17:50,6.8644,NR2,core-night value above noise band (old=6.864400)
clean-2025-v1,附件2,光伏发电实际功率,51,AL,2025-02-19,37,6:10,6.3815,NR2,core-night value above noise band (old=6.381500)
clean-2025-v1,附件2,光伏发电实际功率,51,DD,2025-02-19,107,17:50,7.2703,NR2,core-night value above noise band (old=7.270300)
clean-2025-v1,附件2,光伏发电实际功率,52,AL,2025-02-20,37,6:10,5.3359,NR2,core-night value above noise band (old=5.335900)
clean-2025-v1,附件2,光伏发电实际功率,79,DG,2025-03-19,110,18:20,5.7982,NR2,core-night value above noise band (old=5.798200)
clean-2025-v1,附件2,光伏发电实际功率,80,AI,2025-03-20,34,5:40,5.2594,NR2,core-night value above noise band (old=5.259400)
clean-2025-v1,附件2,光伏发电实际功率,80,DG,2025-03-20,110,18:20,5.5774,NR2,core-night value above noise band (old=5.577400)
clean-2025-v1,附件2,光伏发电实际功率,81,AI,2025-03-21,34,5:40,6.1653,NR2,core-night value above noise band (old=6.165300)
clean-2025-v1,附件2,光伏发电实际功率,81,DG,2025-03-21,110,18:20,5.9984,NR2,core-night value above noise band (old=5.998400)
clean-2025-v1,附件2,光伏发电实际功率,82,AI,2025-03-22,34,5:40,7.2902,NR2,core-night value above noise band (old=7.290200)
clean-2025-v1,附件2,光伏发电实际功率,82,DG,2025-03-22,110,18:20,7.3413,NR2,core-night value above noise band (old=7.341300)
clean-2025-v1,附件2,光伏发电实际功率,83,DG,2025-03-23,110,18:20,6.4551,NR2,core-night value above noise band (old=6.455100)
clean-2025-v1,附件2,光伏发电实际功率,87,AJ,2025-03-27,35,5:50,7.8315,NR2,core-night value above noise band (old=7.831500)
clean-2025-v1,附件2,光伏发电实际功率,87,DF,2025-03-27,109,18:10,6.7558,NR2,core-night value above noise band (old=6.755800)
clean-2025-v1,附件2,光伏发电实际功率,112,AF,2025-04-21,31,5:10,5.7192,NR2,core-night value above noise band (old=5.719200)
clean-2025-v1,附件2,光伏发电实际功率,112,DJ,2025-04-21,113,18:50,6.4383,NR2,core-night value above noise band (old=6.438300)
clean-2025-v1,附件2,光伏发电实际功率,113,AF,2025-04-22,31,5:10,5.5988,NR2,core-night value above noise band (old=5.598800)
